ClientID,First,Last,CreditCard,Expiration
2,Arsenio,Hall,5105105105105100,5/15/2018
2,Arsenio,Hall,5111111111111110,9/30/2017
2,Arsenio,Hall,5454545454545450,6/26/2017
3,Gary,Busey,5500000000000000,9/14/2016
3,Gary,Busey,5555555555554440,4/16/2017
3,Gary,Busey,5115915115915110,7/27/2018
3,Gary,Bussey,4061724061724060,6/26/2019
4,Tia,Carrere,4111111111111110,12/18/2020
4,Tia,Carrere,4007000000027230,4/21/2017
4,Tia,Carrere,4012888888881880,1/18/2015
4,Tia,Carrere,4110144110144110,12/26/2017
5,Debbie,Gibson,4114360123456780,5/11/2020
5,Debbie,Gibson,4061724061724061,7/20/2018
5,Debbie,Gibson,3088000000000000,4/22/2016
5,Debbie,Gibson,3566002020360500,11/17/2016
6,Penn,Jillette,36110361103612,12/6/2019
6,Penn,Jillette,6011111111111110,3/18/2018
6,Penn,Jillette,6011000000000000,1/20/2017
6,Penn,Jillette,6011000990139420,11/11/2016
6,Penn,Jillette,6011601160116610,9/4/2016
6,Penn,Jillette,6111111111111120,11/26/2019
7,Dee,Snider,6559906559906550,3/30/2019
7,Dee,Snider,4520000023237,2/10/2017
7,Dee,Snider,30000000000004,12/20/2016
8,Patricia,Vleasquez,30569309025904,1/5/2017
8,Patricia,Velasquez,378282246310005,8/8/2020
9,Lisa,Lampanelli,3111111111111110,8/26/2019
9,Lisa,Lampanelli,3434343434343430,12/6/2016
9,Lisa,Lampanelli,370000000000002,2/3/2017
10,Paul,Teutul,340000000000009,4/27/2017
10,Paul,Teutul,371449635398431,4/27/2017
10,Paul,Teutul,378734493671000,9/14/2014
11,Dayana,Mendoza,341134113411347,7/23/2018
12,Clay,Aiken,371144371144376,12/13/3018
